Sample#,jitter_arduino,gps_rpi,gps_pure,mote,SampleTime,units
434,01,00,00,00,16,ns
435,00,00,00,00,499.99,ms
436,01,00,00,00,56,ns
437,11,00,00,00,499.99,ms
438,10,00,00,00,8,ns
439,00,00,00,00,499.99,ms
440,01,00,00,00,32,ns
441,11,00,00,00,499.99,ms
442,10,00,00,00,24,ns
443,00,00,00,00,499.99,ms
444,01,00,00,00,64,ns
445,11,00,00,00,499.99,ms
446,10,00,00,00,24,ns
447,00,00,00,00,499.99,ms
448,01,00,00,00,56,ns
449,11,00,00,00,499.99,ms
450,10,00,00,00,56,ns
451,00,00,00,00,499.99,ms
452,01,00,00,00,32,ns
453,11,00,00,00,500.01,ms
454,01,00,00,00,40,ns
455,00,00,00,00,499.96,ms
456,01,00,00,00,48,ns
457,11,00,00,00,499.97,ms
458,10,00,00,00,32,ns
459,00,00,00,00,500.00,ms
460,01,00,00,00,56,ns
461,11,00,00,00,499.99,ms
462,01,00,00,00,8,ns
463,00,00,00,00,499.99,ms
464,01,00,00,00,40,ns
465,11,00,00,00,499.99,ms
466,10,00,00,00,32,ns
467,00,00,00,00,499.99,ms
468,01,00,00,00,32,ns
469,11,00,00,00,499.99,ms
470,10,00,00,00,56,ns
471,00,00,00,00,499.99,ms
472,01,00,00,00,32,ns
473,11,00,00,00,499.99,ms
474,10,00,00,00,16,ns
475,00,00,00,00,499.99,ms
476,01,00,00,00,32,ns
477,11,00,00,00,499.99,ms
478,10,00,00,00,40,ns
479,00,00,00,00,499.99,ms
480,01,00,00,00,40,ns
481,11,00,00,00,499.99,ms
482,10,00,00,00,32,ns
483,00,00,00,00,499.99,ms
484,01,00,00,00,48,ns
485,11,00,00,00,499.99,ms
486,10,00,00,00,24,ns
487,00,00,00,00,499.99,ms
488,01,00,00,00,72,ns
489,11,00,00,00,499.99,ms
490,10,00,00,00,8,ns
491,00,00,00,00,499.99,ms
492,01,00,00,00,32,ns
493,11,00,00,00,500.01,ms
494,00,00,00,00,499.96,ms
495,01,00,00,00,24,ns
496,11,00,00,00,499.97,ms
497,00,00,00,00,500.00,ms
498,11,00,00,00,499.99,ms
499,10,00,00,00,24,ns
500,00,00,00,00,499.99,ms
501,10,00,00,00,8,ns
502,11,00,00,00,499.99,ms
503,01,00,00,00,16,ns
504,00,00,00,00,499.99,ms
505,01,00,00,00,48,ns
506,11,00,00,00,499.99,ms
507,00,00,00,00,499.99,ms
508,11,00,00,00,499.99,ms
509,10,00,00,00,16,ns
510,00,00,00,00,499.99,ms
511,01,00,00,00,16,ns
512,11,00,00,00,499.99,ms
513,01,00,00,00,8,ns
514,00,00,00,00,499.99,ms
515,01,00,00,00,40,ns
516,11,00,00,00,499.99,ms
517,01,00,00,00,8,ns
518,00,00,00,00,499.99,ms
519,01,00,00,00,32,ns
520,11,00,00,00,499.99,ms
521,10,00,00,00,24,ns
522,00,00,00,00,499.99,ms
523,10,00,00,00,8,ns
524,11,00,00,00,499.99,ms
525,10,00,00,00,24,ns
526,00,00,00,00,499.99,ms
527,01,00,00,00,48,ns
528,11,00,00,00,500.01,ms
529,00,00,00,00,499.96,ms
530,01,00,00,00,64,ns
531,11,00,00,00,499.97,ms
532,00,00,00,00,500.00,ms
533,10,00,00,00,24,ns
534,11,00,00,00,499.99,ms
535,10,00,00,00,32,ns
536,00,00,00,00,499.99,ms
537,01,00,00,00,16,ns
538,11,00,00,00,499.99,ms
539,01,00,00,00,8,ns
540,00,00,00,00,499.99,ms
