Sample#,SampleTime,units,arduino,gps
377,499.99,ms,0,0
378,712,ns,1,0
379,399.95,ms,3,0
380,100.00,ms,3,1
381,39.63,us,3,0
382,864,ns,2,0
383,499.99,ms,0,0
384,1.02,us,1,0
385,399.95,ms,3,0
386,100.00,ms,3,1
387,47.59,us,3,0
388,1.14,us,2,0
389,499.99,ms,0,0
390,1.30,us,1,0
391,399.94,ms,3,0
392,100.00,ms,3,1
393,55.57,us,3,0
394,1.42,us,2,0
395,499.99,ms,0,0
396,1.60,us,1,0
397,399.93,ms,3,0
398,100.00,ms,3,1
399,63.48,us,3,0
400,1.75,us,2,0
401,499.99,ms,0,0
402,1.90,us,1,0
403,399.92,ms,3,0
404,100.00,ms,3,1
405,71.44,us,3,0
406,2.07,us,2,0
407,499.99,ms,0,0
408,2.20,us,1,0
409,399.91,ms,3,0
410,100.00,ms,3,1
411,79.42,us,3,0
412,2.33,us,2,0
413,499.99,ms,0,0
414,2.49,us,1,0
415,399.90,ms,3,0
416,100.00,ms,3,1
417,87.38,us,3,0
418,2.62,us,2,0
419,499.99,ms,0,0
420,2.79,us,1,0
421,399.90,ms,3,0
422,100.00,ms,3,1
423,2.52,us,3,0
424,500.01,ms,0,0
425,136,ns,1,0
426,399.97,ms,3,0
427,100.00,ms,3,1
428,23.70,us,3,0
429,304,ns,2,0
430,499.99,ms,0,0
431,448,ns,1,0
432,399.96,ms,3,0
433,100.00,ms,3,1
434,31.66,us,3,0
435,592,ns,2,0
436,499.99,ms,0,0
437,768,ns,1,0
438,399.95,ms,3,0
439,100.00,ms,3,1
440,39.63,us,3,0
441,904,ns,2,0
442,499.99,ms,0,0
443,1.05,us,1,0
444,399.95,ms,3,0
445,100.00,ms,3,1
446,47.60,us,3,0
447,1.18,us,2,0
448,499.99,ms,0,0
449,1.37,us,1,0
450,399.94,ms,3,0
451,100.00,ms,3,1
452,55.50,us,3,0
453,1.52,us,2,0
454,499.99,ms,0,0
455,1.64,us,1,0
456,399.93,ms,3,0
457,100.00,ms,3,1
458,63.46,us,3,0
459,1.81,us,2,0
460,499.99,ms,0,0
461,1.94,us,1,0
462,399.92,ms,3,0
463,100.00,ms,3,1
464,71.40,us,3,0
465,2.14,us,2,0
466,499.99,ms,0,0
467,2.30,us,1,0
468,399.91,ms,3,0
469,100.00,ms,3,1
470,79.37,us,3,0
471,2.42,us,2,0
472,499.99,ms,0,0
473,2.60,us,1,0
474,399.90,ms,3,0
475,100.00,ms,3,1
476,87.30,us,3,0
477,2.74,us,2,0
478,499.99,ms,0,0
479,2.89,us,1,0
480,399.90,ms,3,0
481,100.00,ms,3,1
482,2.52,us,3,0
483,500.01,ms,0,0
484,152,ns,1,0
485,399.97,ms,3,0
486,100.00,ms,3,1
487,23.71,us,3,0
488,312,ns,2,0
489,499.99,ms,0,0
490,456,ns,1,0
491,399.96,ms,3,0
492,100.00,ms,3,1
493,31.67,us,3,0
494,616,ns,2,0
495,499.99,ms,0,0
496,760,ns,1,0
497,399.95,ms,3,0
498,100.00,ms,3,1
499,39.65,us,3,0
500,912,ns,2,0
501,499.99,ms,0,0
502,1.09,us,1,0
503,399.95,ms,3,0
504,100.00,ms,3,1
505,47.58,us,3,0
506,1.23,us,2,0
507,499.99,ms,0,0
508,1.42,us,1,0
509,399.94,ms,3,0
510,100.00,ms,3,1
511,55.54,us,3,0
512,1.58,us,2,0
513,499.99,ms,0,0
514,1.70,us,1,0
515,399.93,ms,3,0
516,100.00,ms,3,1
517,63.50,us,3,0
518,1.86,us,2,0
519,499.99,ms,0,0
520,2.03,us,1,0
521,399.92,ms,3,0
522,100.00,ms,3,1
523,71.45,us,3,0
524,2.18,us,2,0
525,499.99,ms,0,0
526,2.33,us,1,0
527,399.91,ms,3,0
528,100.00,ms,3,1
529,79.40,us,3,0
530,2.50,us,2,0
531,499.99,ms,0,0
532,2.64,us,1,0
533,399.90,ms,3,0
534,100.00,ms,3,1
535,87.40,us,3,0
536,2.78,us,2,0
537,499.99,ms,0,0
538,2.96,us,1,0
539,399.90,ms,3,0
540,100.00,ms,3,1
541,2.52,us,3,0
542,32,ns,2,0
543,500.01,ms,0,0
544,200,ns,1,0
545,399.97,ms,3,0
546,100.00,ms,3,1
547,23.75,us,3,0
548,328,ns,2,0
549,499.99,ms,0,0
550,504,ns,1,0
551,399.96,ms,3,0
552,100.00,ms,3,1
553,31.68,us,3,0
554,680,ns,2,0
555,499.99,ms,0,0
556,832,ns,1,0
557,399.95,ms,3,0
558,100.00,ms,3,1
559,39.64,us,3,0
560,992,ns,2,0
561,499.99,ms,0,0
562,1.12,us,1,0
563,399.95,ms,3,0
564,100.00,ms,3,1
565,47.59,us,3,0
566,1.33,us,2,0
567,499.99,ms,0,0
568,1.46,us,1,0
569,399.94,ms,3,0
570,100.00,ms,3,1
571,55.55,us,3,0
572,1.63,us,2,0
573,499.99,ms,0,0
574,1.77,us,1,0
575,399.93,ms,3,0
576,100.00,ms,3,1
577,63.51,us,3,0
578,1.93,us,2,0
579,499.99,ms,0,0
580,2.09,us,1,0
581,399.92,ms,3,0
582,100.00,ms,3,1
583,71.46,us,3,0
584,2.26,us,2,0
585,499.99,ms,0,0
586,2.43,us,1,0
587,399.91,ms,3,0
588,100.00,ms,3,1
589,79.42,us,3,0
590,2.56,us,2,0
591,499.99,ms,0,0
592,2.72,us,1,0
593,399.90,ms,3,0
594,100.00,ms,3,1
595,87.40,us,3,0
