Sample#,Sync,SampleTime,units
502,1,2.27,ms
503,3,497.68,ms
504,2,2.35,ms
505,0,497.67,ms
506,1,2.29,ms
507,3,497.66,ms
508,2,2.37,ms
509,0,497.64,ms
510,1,2.31,ms
511,3,497.65,ms
512,2,2.34,ms
513,0,497.64,ms
514,1,2.36,ms
515,3,497.66,ms
516,2,2.32,ms
517,0,497.62,ms
518,1,2.41,ms
519,3,497.76,ms
520,2,2.19,ms
521,0,497.60,ms
522,1,2.42,ms
523,3,497.60,ms
524,2,2.36,ms
525,0,497.59,ms
526,1,2.44,ms
527,3,497.57,ms
528,2,2.38,ms
529,0,497.57,ms
530,1,2.45,ms
531,3,497.53,ms
532,2,2.43,ms
533,0,497.65,ms
534,1,2.33,ms
535,3,497.55,ms
536,2,2.48,ms
537,0,497.62,ms
538,1,2.33,ms
539,3,497.53,ms
540,2,2.50,ms
541,0,497.52,ms
542,1,2.43,ms
543,3,497.52,ms
544,2,2.52,ms
545,0,497.50,ms
546,1,2.45,ms
547,3,497.50,ms
548,2,2.53,ms
549,0,497.45,ms
550,1,2.50,ms
551,3,497.49,ms
552,2,2.50,ms
553,0,497.47,ms
554,1,2.53,ms
555,3,497.50,ms
556,2,2.48,ms
557,0,497.46,ms
558,1,2.58,ms
559,3,497.43,ms
560,2,2.51,ms
561,0,497.45,ms
562,1,2.59,ms
563,3,497.43,ms
564,2,2.52,ms
565,0,497.43,ms
566,1,2.60,ms
567,3,497.38,ms
568,2,2.58,ms
569,0,497.41,ms
570,1,2.62,ms
571,3,497.37,ms
572,2,2.59,ms
573,0,497.44,ms
574,1,2.55,ms
575,3,497.38,ms
576,2,2.64,ms
577,0,497.37,ms
578,1,2.58,ms
579,3,497.37,ms
580,2,2.66,ms
581,0,497.35,ms
582,1,2.60,ms
583,3,497.35,ms
584,2,2.68,ms
585,0,497.35,ms
586,1,2.61,ms
587,3,497.34,ms
588,2,2.65,ms
589,0,497.33,ms
590,1,2.67,ms
591,3,497.37,ms
592,2,2.63,ms
593,0,497.31,ms
594,1,2.72,ms
595,3,497.30,ms
596,2,2.66,ms
597,0,497.30,ms
598,1,2.74,ms
599,3,497.27,ms
600,2,2.67,ms
601,0,497.28,ms
602,1,2.75,ms
603,3,497.23,ms
604,2,2.72,ms
605,0,497.27,ms
606,1,2.77,ms
607,3,497.21,ms
608,2,2.74,ms
609,0,497.29,ms
610,1,2.70,ms
611,3,497.24,ms
612,2,2.75,ms
613,0,497.26,ms
614,1,2.72,ms
615,3,497.23,ms
616,2,2.82,ms
617,0,497.19,ms
618,1,2.74,ms
619,3,497.21,ms
620,2,2.82,ms
621,0,497.20,ms
622,1,2.75,ms
623,3,497.19,ms
624,2,2.83,ms
625,0,497.14,ms
626,1,2.81,ms
627,3,497.19,ms
628,2,2.81,ms
629,0,497.16,ms
630,1,2.83,ms
631,3,497.27,ms
632,2,2.72,ms
633,0,497.16,ms
634,1,2.84,ms
635,3,497.17,ms
636,2,2.81,ms
637,0,497.13,ms
638,1,2.89,ms
639,3,497.14,ms
640,2,2.83,ms
641,0,497.12,ms
642,1,2.90,ms
643,3,497.08,ms
644,2,2.88,ms
645,0,497.10,ms
646,1,2.89,ms
647,3,497.08,ms
648,2,2.91,ms
649,0,497.12,ms
650,1,2.86,ms
651,3,497.08,ms
652,2,2.96,ms
653,0,497.06,ms
654,1,2.89,ms
655,3,497.06,ms
656,2,2.96,ms
657,0,497.06,ms
658,1,2.90,ms
659,3,497.04,ms
660,2,2.98,ms
661,0,497.04,ms
662,1,2.92,ms
663,3,497.03,ms
664,2,2.99,ms
665,0,496.99,ms
666,1,2.98,ms
667,3,497.06,ms
668,2,2.93,ms
669,0,497.01,ms
670,1,3.04,ms
671,3,496.97,ms
672,2,3.02,ms
673,0,496.93,ms
674,1,3.06,ms
675,3,496.97,ms
676,2,2.97,ms
677,0,496.97,ms
678,1,3.06,ms
679,3,496.95,ms
680,2,3.00,ms
681,0,496.96,ms
682,1,3.09,ms
683,3,496.88,ms
684,2,3.05,ms
685,0,496.94,ms
686,1,3.06,ms
687,3,496.93,ms
688,2,3.06,ms
689,0,496.95,ms
690,1,3.04,ms
691,3,496.92,ms
692,2,3.12,ms
693,0,496.91,ms
694,1,3.05,ms
695,3,496.90,ms
696,2,3.12,ms
697,0,496.89,ms
698,1,3.07,ms
699,3,496.88,ms
700,2,3.15,ms
701,0,496.82,ms
702,1,3.12,ms
703,3,496.87,ms
704,2,3.15,ms
705,0,496.83,ms
706,1,3.14,ms
707,3,496.91,ms
708,2,3.07,ms
709,0,496.85,ms
710,1,3.16,ms
711,3,496.87,ms
712,2,3.12,ms
713,0,496.83,ms
714,1,3.22,ms
715,3,496.80,ms
716,2,3.14,ms
717,0,496.81,ms
718,1,3.24,ms
719,3,496.77,ms
720,2,3.16,ms
721,0,496.79,ms
722,1,3.24,ms
723,3,496.74,ms
724,2,3.21,ms
725,0,496.78,ms
726,1,3.20,ms
727,3,496.78,ms
728,2,3.23,ms
729,0,496.79,ms
730,1,3.20,ms
731,3,496.75,ms
732,2,3.28,ms
733,0,496.74,ms
734,1,3.21,ms
735,3,496.73,ms
736,2,3.30,ms
737,0,496.72,ms
738,1,3.23,ms
739,3,496.72,ms
740,2,3.31,ms
741,0,496.68,ms
742,1,3.28,ms
743,3,496.70,ms
744,2,3.28,ms
745,0,496.69,ms
746,1,3.31,ms
747,3,496.73,ms
748,2,3.26,ms
749,0,496.68,ms
750,1,3.35,ms
751,3,496.66,ms
752,2,3.29,ms
753,0,496.66,ms
754,1,3.37,ms
755,3,496.65,ms
756,2,3.31,ms
757,0,496.64,ms
758,1,3.39,ms
759,3,496.64,ms
760,2,3.32,ms
761,0,496.63,ms
762,1,3.40,ms
763,3,496.58,ms
764,2,3.38,ms
765,0,496.61,ms
766,1,3.38,ms
767,3,496.60,ms
768,2,3.40,ms
769,0,496.63,ms
770,1,3.34,ms
771,3,496.59,ms
772,2,3.46,ms
773,0,496.56,ms
774,1,3.38,ms
775,3,496.57,ms
776,2,3.45,ms
777,0,496.58,ms
778,1,3.38,ms
779,3,496.55,ms
780,2,3.47,ms
781,0,496.51,ms
782,1,3.45,ms
783,3,496.54,ms
784,2,3.45,ms
785,0,496.52,ms
786,1,3.47,ms
