Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
256,11,11,00,11,79.45,us
257,11,10,00,11,11.17,us
258,11,00,00,11,290.45,ms
259,11,00,00,01,760.77,us
260,11,00,00,00,108.56,ms
261,11,00,01,00,32,ns
262,11,00,11,00,100.00,ms
263,11,00,10,00,32,ns
264,11,00,00,00,125.82,us
265,10,00,00,00,1.43,us
266,00,00,00,00,78.11,us
267,00,01,00,00,21.39,us
268,00,11,00,00,290.43,ms
269,00,11,00,10,725.94,us
270,00,11,00,11,208.73,ms
271,01,11,00,11,2.22,us
272,11,11,00,11,82.69,us
273,11,10,00,11,12.14,us
274,11,00,00,11,290.43,ms
275,11,00,00,01,731.35,us
276,11,00,00,00,108.61,ms
277,11,00,01,00,32,ns
278,11,00,11,00,100.00,ms
279,11,00,10,00,24,ns
280,11,00,00,00,124.24,us
281,10,00,00,00,2.90,us
282,00,00,00,00,81.73,us
283,00,01,00,00,7.73,us
284,00,11,00,00,290.44,ms
285,00,11,00,10,741.56,us
286,00,11,00,11,208.72,ms
287,01,11,00,11,3.56,us
288,11,11,00,11,80.49,us
289,11,10,00,11,23.62,us
290,11,00,00,11,290.41,ms
291,11,00,00,01,755.35,us
292,11,00,00,00,108.59,ms
293,11,00,01,00,32,ns
294,11,00,11,00,100.00,ms
295,11,00,10,00,32,ns
296,11,00,00,00,122.70,us
297,10,00,00,00,4.22,us
298,00,00,00,00,76.69,us
299,00,01,00,00,14.43,us
300,00,11,00,00,290.42,ms
301,00,11,00,10,761.74,us
302,00,11,00,11,208.71,ms
303,01,11,00,11,4.89,us
304,11,11,00,11,77.09,us
305,11,10,00,11,21.46,us
306,11,00,00,11,291.18,ms
307,11,00,00,10,352,ns
308,11,00,00,00,108.58,ms
309,11,00,01,00,24,ns
310,11,00,11,00,100.00,ms
311,11,00,10,00,24,ns
312,11,00,00,00,126.73,us
313,01,00,00,00,2.06,us
314,00,00,00,00,78.90,us
315,00,01,00,00,14.38,us
316,00,11,00,00,291.19,ms
317,00,11,00,01,3.04,us
318,00,11,00,11,208.70,ms
319,10,11,00,11,1.46,us
320,11,11,00,11,77.56,us
321,11,10,00,11,36.17,us
322,11,00,00,11,291.18,ms
323,11,00,00,10,6.39,us
324,11,00,00,00,108.56,ms
325,11,00,01,00,24,ns
326,11,00,11,00,100.00,ms
327,11,00,10,00,32,ns
328,11,00,00,00,126.53,us
329,01,00,00,00,760,ns
330,00,00,00,00,76.87,us
331,00,01,00,00,35.72,us
332,00,11,00,00,291.19,ms
333,00,11,00,01,21.24,us
334,00,11,00,11,208.66,ms
335,10,11,00,11,64,ns
336,11,11,00,11,78.98,us
337,11,10,00,11,40.58,us
338,11,00,00,11,291.18,ms
339,11,00,00,10,26.62,us
340,11,00,00,00,108.53,ms
341,11,00,01,00,24,ns
342,11,00,11,00,100.00,ms
343,11,00,10,00,16,ns
344,11,00,00,00,125.73,us
345,10,00,00,00,1.54,us
346,00,00,00,00,77.23,us
347,00,01,00,00,32.45,us
348,00,11,00,00,291.21,ms
349,00,11,00,01,20.28,us
350,00,11,00,11,208.65,ms
351,01,11,00,11,2.37,us
352,11,11,00,11,96.82,us
353,11,10,00,11,17.37,us
354,11,00,00,11,291.20,ms
355,11,00,00,10,44.66,us
356,11,00,00,00,108.50,ms
357,11,00,01,00,24,ns
358,11,00,11,00,100.00,ms
359,11,00,10,00,24,ns
360,11,00,00,00,124.18,us
361,10,00,00,00,3.01,us
362,00,00,00,00,93.92,us
363,00,01,00,00,24.49,us
364,00,11,00,00,291.21,ms
365,00,11,00,01,41.38,us
366,00,11,00,11,208.62,ms
367,01,11,00,11,3.68,us
368,11,11,00,11,94.10,us
369,11,10,00,11,24.13,us
370,11,00,00,11,291.21,ms
371,11,00,00,10,50.07,us
372,11,00,00,00,108.49,ms
373,11,00,01,00,24,ns
374,11,00,11,00,100.00,ms
375,11,00,10,00,24,ns
376,11,00,00,00,122.62,us
377,10,00,00,00,4.38,us
378,00,00,00,00,92.66,us
379,00,01,00,00,21.18,us
380,00,11,00,00,291.23,ms
381,00,11,00,01,56.56,us
382,00,11,00,11,208.58,ms
383,01,11,00,11,5.01,us
384,11,11,00,11,103.39,us
385,11,10,00,11,21.46,us
386,11,00,00,11,291.21,ms
387,11,00,00,10,65.94,us
388,11,00,00,00,108.46,ms
389,11,00,01,00,16,ns
390,11,00,11,00,100.00,ms
391,11,00,10,00,24,ns
392,11,00,00,00,126.78,us
393,01,00,00,00,2.02,us
394,00,00,00,00,93.60,us
395,00,01,00,00,16.58,us
396,00,11,00,00,291.23,ms
397,00,11,00,01,72.94,us
398,00,11,00,11,208.57,ms
399,10,11,00,11,1.41,us
