Sample#,mote,SampleTime,units,gps_pure,gps_rpi,pps_mirror
391,11,37.83,ms,11,00,
392,11,32,ns,10,00,
393,11,141.42,us,00,00,
394,11,1.90,us,00,00,1
395,11,51.38,us,00,00,3
396,11,2.54,us,00,00,2
397,11,107.29,us,00,00,
398,11,12.47,us,00,10,
399,11,461.78,ms,00,11,
400,01,63.87,us,00,11,
401,00,38.13,ms,00,11,
402,00,14.10,us,00,01,
403,00,399.67,ms,00,00,
404,00,40,ns,01,00,
405,00,62.12,ms,11,00,
406,10,51.10,us,11,00,
407,11,37.83,ms,11,00,
408,11,40,ns,10,00,
409,11,156.43,us,00,00,
410,11,1.37,us,00,00,2
411,11,57.37,us,00,00,3
412,11,91.63,us,00,00,2
413,11,15.46,us,00,10,2
414,11,133.58,us,00,11,2
415,11,461.66,ms,00,11,
416,01,47.60,us,00,11,
417,00,38.14,ms,00,11,
418,00,14.59,us,00,10,
419,00,399.66,ms,00,00,
420,00,48,ns,01,00,
421,00,62.13,ms,11,00,
422,10,50.45,us,11,00,
423,11,37.81,ms,11,00,
424,11,40,ns,10,00,
425,11,137.54,us,00,00,
426,11,3.02,us,00,00,1
427,11,47.65,us,00,00,3
428,11,4.41,us,00,00,2
429,11,123.83,us,00,00,
430,11,11.67,us,00,01,
431,11,461.81,ms,00,11,
432,01,27.48,us,00,11,
433,00,38.16,ms,00,11,
434,00,1.24,us,00,01,
435,00,399.65,ms,00,00,
436,00,40,ns,01,00,
437,00,62.15,ms,11,00,
438,10,38.65,us,11,00,
439,11,37.81,ms,11,00,
440,11,40,ns,10,00,
441,11,142.24,us,00,00,
442,11,9.46,us,00,00,2
443,11,42.06,us,00,00,3
444,11,121.42,us,00,00,1
445,11,15.88,us,00,01,1
446,11,104.06,us,00,11,1
447,11,461.71,ms,00,11,
448,01,49.81,us,00,11,
449,00,38.12,ms,00,11,
450,00,9.72,us,00,10,
451,00,399.65,ms,00,00,
452,00,48,ns,01,00,
453,00,62.17,ms,11,00,
454,10,33.43,us,11,00,
455,11,37.80,ms,11,00,
456,11,56,ns,10,00,
457,11,153.33,us,00,00,
458,11,4.23,us,00,00,2
459,11,54.58,us,00,00,3
460,11,66.88,us,00,00,1
461,11,53.06,us,00,00,
462,11,10.10,us,00,10,
463,11,461.82,ms,00,11,
464,01,46.57,us,00,11,
465,00,38.11,ms,00,11,
466,00,5.96,us,00,10,
467,00,399.66,ms,00,00,
468,00,48,ns,01,00,
469,00,62.18,ms,11,00,
470,10,38.73,us,11,00,
471,11,37.78,ms,11,00,
472,11,48,ns,10,00,
473,11,139.18,us,00,00,
474,11,72,ns,00,00,2
475,11,52.10,us,00,00,3
476,11,2.48,us,00,00,2
477,11,130.83,us,00,00,
478,11,6.38,us,00,01,
479,11,461.85,ms,00,11,
480,01,49.10,us,00,11,
481,00,38.10,ms,00,11,
482,00,67.85,us,00,01,
483,00,399.59,ms,00,00,
484,00,48,ns,01,00,
485,00,62.19,ms,11,00,
486,10,33.97,us,11,00,
487,11,37.77,ms,11,00,
488,11,56,ns,10,00,
489,11,158.28,us,00,00,
490,11,11.84,us,00,00,2
491,11,47.90,us,00,00,3
492,11,3.06,us,00,00,1
493,11,94.34,us,00,00,
494,11,17.58,us,00,01,
495,11,461.86,ms,00,11,
496,01,47.84,us,00,11,
497,00,38.07,ms,00,11,
498,00,21.71,us,00,10,
499,00,399.65,ms,00,00,
500,00,48,ns,01,00,
501,00,62.23,ms,11,00,
502,10,11.33,us,11,00,
503,11,37.76,ms,11,00,
504,11,48,ns,10,00,
505,11,138.38,us,00,00,
506,11,26.78,us,00,00,2
507,11,25.02,us,00,00,3
508,11,35.17,us,00,00,1
509,11,102.32,us,00,00,
510,11,5.22,us,00,01,
511,11,461.89,ms,00,11,
512,01,10.77,us,00,11,
513,00,38.07,ms,00,11,
514,00,17.86,us,00,10,
515,00,399.66,ms,00,00,
516,00,56,ns,01,00,
517,00,62.24,ms,11,00,
518,10,13.29,us,11,00,
519,11,37.74,ms,11,00,
520,11,48,ns,10,00,
521,11,137.66,us,00,00,
522,11,4.34,us,00,00,1
523,11,45.89,us,00,00,3
524,11,7.43,us,00,00,2
525,11,120.49,us,00,00,
526,11,15.45,us,00,01,
527,11,461.91,ms,00,11,
528,01,34.20,us,00,11,
529,00,38.03,ms,00,11,
530,00,13.80,us,00,10,
531,00,399.65,ms,00,00,
532,00,56,ns,01,00,
533,00,62.26,ms,11,00,
534,10,11.98,us,11,00,
535,11,37.73,ms,11,00,
536,11,48,ns,10,00,
537,11,140.35,us,00,00,
538,11,27.18,us,00,00,1
539,11,23.66,us,00,00,3
540,11,27.90,us,00,00,2
541,11,94.62,us,00,00,
542,11,18.43,us,00,01,
543,11,461.92,ms,00,11,
544,01,88.10,us,00,11,
545,00,37.96,ms,00,11,
546,00,18.47,us,00,10,
547,00,399.66,ms,00,00,
548,00,48,ns,01,00,
549,00,62.28,ms,11,00,
550,10,7.74,us,11,00,
551,11,37.71,ms,11,00,
552,11,48,ns,10,00,
553,11,154.50,us,00,00,
554,11,9.57,us,00,00,2
555,11,50.17,us,00,00,3
556,11,9.02,us,00,00,1
557,11,102.22,us,00,00,
558,11,7.09,us,00,01,
559,11,461.94,ms,00,11,
560,01,11.82,us,00,11,
561,00,38.02,ms,00,11,
562,00,21.29,us,00,10,
563,00,399.65,ms,00,00,
564,00,56,ns,01,00,
565,00,62.29,ms,11,00,
566,10,9.66,us,11,00,
567,11,37.70,ms,11,00,
568,11,48,ns,10,00,
569,11,137.87,us,00,00,
570,11,2.27,us,00,00,1
571,11,47.06,us,00,00,3
572,11,125.12,us,00,00,2
573,11,22.73,us,00,01,2
574,11,88.70,us,00,11,2
575,11,461.87,ms,00,11,
576,01,144.50,us,00,11,
577,00,37.88,ms,00,11,
578,00,11.53,us,00,01,
579,00,399.66,ms,00,00,
580,00,48,ns,01,00,
581,00,62.30,ms,11,00,
582,10,12.02,us,11,00,
583,11,37.68,ms,11,00,
584,11,48,ns,10,00,
585,11,134.87,us,00,00,
586,11,2.12,us,00,00,2
587,11,48.23,us,00,00,3
588,11,688,ns,00,00,1
589,11,126.87,us,00,00,
590,11,4.58,us,00,01,
591,11,461.98,ms,00,11,
592,01,26.59,us,00,11,
593,00,37.98,ms,00,11,
594,00,1.47,us,00,01,
595,00,399.67,ms,00,00,
596,00,56,ns,01,00,
597,00,62.31,ms,11,00,
598,01,9.68,us,11,00,
599,11,37.68,ms,11,00,
600,11,48,ns,10,00,
601,11,156.61,us,00,00,
602,11,8.44,us,00,00,2
603,11,51.02,us,00,00,3
604,11,100.81,us,00,00,1
605,11,7.44,us,00,10,1
606,11,158.22,us,00,11,1
607,11,461.83,ms,00,11,
608,10,4.18,us,00,11,
609,00,37.98,ms,00,11,
610,00,42.54,us,00,01,
611,00,399.64,ms,00,00,
612,00,56,ns,01,00,
613,00,62.32,ms,11,00,
614,01,7.38,us,11,00,
615,11,37.67,ms,11,00,
616,11,48,ns,10,00,
617,11,137.73,us,00,00,
618,11,744,ns,00,00,1
619,11,48.74,us,00,00,3
620,11,5.61,us,00,00,2
621,11,113.29,us,00,00,
622,11,27.83,us,00,10,
623,11,461.99,ms,00,11,
624,10,9.94,us,00,11,
625,00,37.97,ms,00,11,
626,00,47.23,us,00,01,
627,00,399.63,ms,00,00,
628,00,56,ns,01,00,
629,00,62.34,ms,11,00,
630,01,6.86,us,11,00,
631,11,37.65,ms,11,00,
632,11,48,ns,10,00,
633,11,138.82,us,00,00,
634,11,4.10,us,00,00,1
635,11,47.49,us,00,00,3
636,11,8.57,us,00,00,2
637,11,109.19,us,00,00,
638,11,26.22,us,00,10,
639,11,462.01,ms,00,11,
640,10,1.09,us,00,11,
641,00,37.95,ms,00,11,
642,00,25.32,us,00,01,
643,00,399.66,ms,00,00,
644,00,48,ns,01,00,
645,00,62.36,ms,11,00,
646,01,7.04,us,11,00,
647,11,37.63,ms,11,00,
648,11,40,ns,10,00,
649,11,155.05,us,00,00,
650,11,10.98,us,00,00,2
651,11,47.47,us,00,00,3
652,11,11.77,us,00,00,1
653,11,82.33,us,00,00,
654,11,36.46,us,00,10,
655,11,462.02,ms,00,11,
656,01,2.21,us,00,11,
657,00,37.95,ms,00,11,
658,00,17.26,us,00,01,
659,00,399.65,ms,00,00,
660,00,48,ns,01,00,
661,00,62.33,ms,11,00,
662,10,42.88,us,11,00,
663,11,37.63,ms,11,00,
664,11,48,ns,10,00,
665,11,134.87,us,00,00,
666,11,1.51,us,00,00,2
667,11,49.46,us,00,00,3
668,11,2.88,us,00,00,2
669,11,120.49,us,00,00,
670,11,21.49,us,00,10,
671,11,462.00,ms,00,11,
672,01,33.35,us,00,11,
673,00,37.94,ms,00,11,
674,00,67.26,us,00,01,
675,00,399.61,ms,00,00,
676,00,48,ns,01,00,
677,00,62.34,ms,11,00,
678,10,108.39,us,11,00,
679,11,37.55,ms,11,00,
680,11,56,ns,10,00,
681,11,139.41,us,00,00,
682,11,360,ns,00,00,2
683,11,50.65,us,00,00,3
684,11,2.50,us,00,00,2
685,11,113.22,us,00,00,
686,11,28.58,us,00,10,
687,11,462.01,ms,00,11,
688,01,86.02,us,00,11,
689,00,37.87,ms,00,11,
690,00,36.92,us,00,01,
691,00,399.64,ms,00,00,
692,00,40,ns,01,00,
693,00,62.35,ms,11,00,
694,10,108.81,us,11,00,
695,11,37.54,ms,11,00,
696,11,48,ns,10,00,
697,11,156.23,us,00,00,
698,11,9.37,us,00,00,2
699,11,49.82,us,00,00,3
700,11,9.26,us,00,00,1
701,11,82.22,us,00,00,
702,11,74.55,us,00,10,
703,11,461.97,ms,00,11,
704,01,107.82,us,00,11,
705,00,37.84,ms,00,11,
706,00,21.38,us,00,01,
707,00,399.65,ms,00,00,
708,00,40,ns,01,00,
709,00,62.36,ms,11,00,
710,10,117.17,us,11,00,
711,11,37.52,ms,11,00,
712,11,40,ns,10,00,
713,11,137.81,us,00,00,
714,11,1.12,us,00,00,1
715,11,52.16,us,00,00,3
716,11,1.98,us,00,00,2
717,11,111.13,us,00,00,
718,11,30.48,us,00,10,
719,11,462.05,ms,00,11,
720,01,37.62,us,00,11,
721,00,37.89,ms,00,11,
722,00,66.93,us,00,01,
723,00,399.60,ms,00,00,
724,00,56,ns,01,00,
725,00,62.37,ms,11,00,
726,10,55.60,us,11,00,
727,11,37.57,ms,11,00,
728,11,56,ns,10,00,
729,11,138.47,us,00,00,
730,11,1.22,us,00,00,1
731,11,50.93,us,00,00,3
732,11,114.71,us,00,00,2
733,11,37.98,us,00,10,2
734,11,82.74,us,00,11,2
735,11,461.97,ms,00,11,
736,01,27.44,us,00,11,
737,00,37.89,ms,00,11,
738,00,2.08,us,00,01,
739,00,399.66,ms,00,00,
740,00,48,ns,01,00,
741,00,62.39,ms,11,00,
742,10,38.84,us,11,00,
743,11,37.57,ms,11,00,
744,11,48,ns,10,00,
745,11,131.67,us,00,00,
746,11,38.24,us,00,00,2
747,11,11.23,us,00,00,3
748,11,48.74,us,00,00,1
749,11,80.72,us,00,00,
750,11,88.76,us,00,10,
751,11,461.98,ms,00,11,
752,01,60.46,us,00,11,
753,00,37.86,ms,00,11,
754,00,24.61,us,00,01,
755,00,399.66,ms,00,00,
756,00,40,ns,01,00,
757,00,62.40,ms,11,00,
758,10,21.96,us,11,00,
759,11,37.58,ms,11,00,
760,11,40,ns,10,00,
761,11,132.13,us,00,00,
762,11,23.34,us,00,00,2
763,11,28.67,us,00,00,3
764,11,124.66,us,00,00,1
765,11,25.90,us,00,10,1
766,11,101.30,us,00,11,1
767,11,461.96,ms,00,11,
768,01,58.36,us,00,11,
769,00,37.85,ms,00,11,
770,00,74.54,us,00,01,
771,00,399.60,ms,00,00,
772,00,48,ns,01,00,
773,00,62.41,ms,11,00,
774,10,39.50,us,11,00,
775,11,37.55,ms,11,00,
776,11,48,ns,10,00,
777,11,137.66,us,00,00,
778,11,3.40,us,00,00,2
779,11,49.07,us,00,00,3
780,11,3.09,us,00,00,1
781,11,115.75,us,00,00,
782,11,10.82,us,00,10,
783,11,462.06,ms,00,11,
784,10,21.64,us,00,11,
785,00,37.89,ms,00,11,
786,00,5.66,us,00,01,
787,00,399.67,ms,00,00,
788,00,48,ns,01,00,
789,00,62.40,ms,11,00,
790,01,23.48,us,11,00,
791,11,37.58,ms,11,00,
792,11,56,ns,10,00,
793,11,144.23,us,00,00,
794,11,656,ns,00,00,1
795,11,55.06,us,00,00,3
796,11,2.36,us,00,00,2
797,11,105.99,us,00,00,
798,11,16.65,us,00,10,
799,11,462.08,ms,00,11,
800,10,16.70,us,00,11,
801,00,37.88,ms,00,11,
802,00,9.21,us,00,01,
803,00,399.67,ms,00,00,
804,00,56,ns,01,00,
805,00,62.40,ms,11,00,
806,01,43.08,us,11,00,
807,11,37.56,ms,11,00,
808,11,56,ns,10,00,
809,11,141.42,us,00,00,
810,11,5.90,us,00,00,1
811,11,44.38,us,00,00,3
812,11,14.94,us,00,00,2
813,11,103.14,us,00,00,
814,11,6.84,us,00,10,
815,11,462.09,ms,00,11,
816,10,27.48,us,00,11,
817,00,37.86,ms,00,11,
818,00,6.37,us,00,01,
819,00,399.67,ms,00,00,
820,00,56,ns,01,00,
821,00,62.41,ms,11,00,
822,01,26.56,us,11,00,
823,11,37.56,ms,11,00,
824,11,56,ns,10,00,
825,11,140.67,us,00,00,
826,11,216,ns,00,00,1
827,11,51.94,us,00,00,3
828,11,4.30,us,00,00,2
829,11,112.77,us,00,00,
830,11,9.15,us,00,10,
831,11,462.09,ms,00,11,
832,10,14.16,us,00,11,
833,00,37.88,ms,00,11,
834,00,7.29,us,00,10,
835,00,399.67,ms,00,00,
836,00,48,ns,01,00,
837,00,62.42,ms,11,00,
838,01,25.15,us,11,00,
839,11,37.55,ms,11,00,
840,11,48,ns,10,00,
841,11,149.34,us,00,00,
842,11,5.18,us,00,00,2
843,11,52.28,us,00,00,3
844,11,5.74,us,00,00,1
845,11,97.22,us,00,00,
846,11,3.53,us,00,10,
847,11,462.12,ms,00,11,
848,10,20.10,us,00,11,
849,00,37.85,ms,00,11,
850,00,3.59,us,00,10,
851,00,399.67,ms,00,00,
852,00,64,ns,01,00,
853,00,62.43,ms,11,00,
854,01,31.42,us,11,00,
855,11,37.54,ms,11,00,
856,11,64,ns,10,00,
857,11,143.96,us,00,00,
858,11,3.78,us,00,00,1
859,11,49.81,us,00,00,3
860,11,8.84,us,00,00,2
861,11,103.66,us,00,00,
862,11,4.40,us,00,10,
863,11,462.12,ms,00,11,
864,10,20.98,us,00,11,
865,00,37.84,ms,00,11,
866,00,10.10,us,00,10,
867,00,399.67,ms,00,00,
868,00,56,ns,01,00,
869,00,62.44,ms,11,00,
870,01,23.42,us,11,00,
871,11,37.53,ms,11,00,
872,11,56,ns,10,00,
873,11,147.50,us,00,00,
874,11,6.31,us,00,00,1
875,11,46.15,us,00,00,3
876,11,11.92,us,00,00,2
877,11,103.45,us,00,00,
878,11,2.79,us,00,01,
879,11,462.14,ms,00,11,
880,10,4.50,us,00,11,
881,00,37.84,ms,00,11,
882,00,7.51,us,00,10,
883,00,399.67,ms,00,00,
884,00,48,ns,01,00,
885,00,62.45,ms,11,00,
886,01,34.45,us,11,00,
887,11,37.52,ms,11,00,
888,11,56,ns,10,00,
889,11,134.42,us,00,00,
890,11,10.65,us,00,00,1
891,11,38.96,us,00,00,3
892,11,127.22,us,00,00,2
893,11,416,ns,00,10,2
894,11,124.14,us,00,11,2
895,11,462.02,ms,00,11,
896,10,23.10,us,00,11,
897,00,37.82,ms,00,11,
898,00,24.35,us,00,10,
899,00,399.65,ms,00,00,
900,00,56,ns,01,00,
901,00,62.46,ms,11,00,
902,01,36.41,us,11,00,
903,11,37.50,ms,11,00,
904,11,56,ns,10,00,
