Sample#,SampleTime,units,arduino,gps
355,17.38,us,3,0
356,128,ns,2,0
357,499.99,ms,0,0
358,136,ns,1,0
359,399.97,ms,3,0
360,100.00,ms,3,1
361,17.34,us,3,0
362,152,ns,2,0
363,499.99,ms,0,0
364,152,ns,1,0
365,399.97,ms,3,0
366,100.00,ms,3,1
367,17.34,us,3,0
368,144,ns,2,0
369,499.99,ms,0,0
370,168,ns,1,0
371,399.97,ms,3,0
372,100.00,ms,3,1
373,17.29,us,3,0
374,200,ns,2,0
375,499.99,ms,0,0
376,200,ns,1,0
377,399.97,ms,3,0
378,100.00,ms,3,1
379,40.95,us,3,0
380,8,ns,1,0
381,499.96,ms,0,0
382,208,ns,1,0
383,399.97,ms,3,0
384,100.00,ms,3,1
385,2.42,us,3,0
386,32,ns,2,0
387,500.00,ms,0,0
388,16,ns,1,0
389,399.97,ms,3,0
390,100.00,ms,3,1
391,17.50,us,3,0
392,48,ns,2,0
393,499.99,ms,0,0
394,399.97,ms,3,0
395,100.00,ms,3,1
396,17.47,us,3,0
397,64,ns,2,0
398,499.99,ms,0,0
399,64,ns,1,0
400,399.97,ms,3,0
401,100.00,ms,3,1
402,17.46,us,3,0
403,112,ns,2,0
404,499.99,ms,0,0
405,72,ns,1,0
406,399.97,ms,3,0
407,100.00,ms,3,1
408,17.45,us,3,0
409,72,ns,2,0
410,499.99,ms,0,0
411,64,ns,1,0
412,399.97,ms,3,0
413,100.00,ms,3,1
414,17.42,us,3,0
415,104,ns,2,0
416,499.99,ms,0,0
417,104,ns,1,0
418,399.97,ms,3,0
419,100.00,ms,3,1
420,17.38,us,3,0
421,120,ns,2,0
422,499.99,ms,0,0
423,144,ns,1,0
424,399.97,ms,3,0
425,89.58,ms,3,1
426,8,ns,3,0
427,10.42,ms,3,1
428,17.38,us,3,0
429,136,ns,2,0
430,499.99,ms,0,0
431,104,ns,1,0
432,399.97,ms,3,0
433,100.00,ms,3,1
434,17.34,us,3,0
435,128,ns,2,0
436,499.99,ms,0,0
437,176,ns,1,0
438,399.97,ms,3,0
439,100.00,ms,3,1
440,40.98,us,3,0
441,499.96,ms,0,0
442,112,ns,1,0
443,399.97,ms,3,0
444,100.00,ms,3,1
445,2.40,us,3,0
446,500.00,ms,0,0
447,8,ns,2,0
